date,id_moneda,price,Venta,Compra
2018-09-02,bitcoin,7211.270767868822,0.0,0
2018-09-03,bitcoin,7305.272801003753,0.0,0
2018-09-04,bitcoin,7260.897516647864,0.0,0
2018-09-05,bitcoin,7359.462992923027,0.0,0
2018-09-06,bitcoin,6764.926773778225,0.0,0
2018-09-07,bitcoin,6498.2796126096555,0.0,0
2018-09-08,bitcoin,6397.81887024023,0.0,0
2018-09-09,bitcoin,6181.19445075213,0.0,0
2018-09-10,bitcoin,6260.764806062476,0.0,0
2018-09-11,bitcoin,6308.135474616629,0.0,0
2018-09-12,bitcoin,6278.917069628559,0.0,0
2018-09-13,bitcoin,6330.574238022664,0.0,0
2018-09-14,bitcoin,6486.461630393616,0.0,0
2018-09-15,bitcoin,6500.01225461663,0.0,0
2018-09-16,bitcoin,6530.221146234664,0.0,0
2018-09-17,bitcoin,6506.248493217292,0.0,0
2018-09-18,bitcoin,6250.121727322729,0.0,0
2018-09-19,bitcoin,6347.069255451608,0.0,0
2018-09-20,bitcoin,6383.753841158382,0.0,0
2018-09-21,bitcoin,6491.885242276883,0.0,0
2018-09-22,bitcoin,6753.8344721403255,0.0,0
2018-09-23,bitcoin,6747.032172960024,0.0,0
2018-09-24,bitcoin,6711.029451815934,0.0,0
2018-09-25,bitcoin,6596.187313045577,0.0,0
2018-09-26,bitcoin,6441.311544542553,0.0,0
2018-09-27,bitcoin,6462.795635292239,0.0,0
2018-09-28,bitcoin,6704.704245729721,0.0,0
2018-09-29,bitcoin,6634.765964572905,0.0,0
2018-09-30,bitcoin,6606.073795422076,0.0,0
2018-10-01,bitcoin,6626.037956098487,0.0,0
2018-10-02,bitcoin,6598.841259755177,0.0,0
2018-10-03,bitcoin,6524.60769791521,0.0,0
2018-10-04,bitcoin,6499.262379115219,0.0,0
2018-10-05,bitcoin,6578.701809284849,0.0,0
2018-10-06,bitcoin,6621.189363919919,0.0,0
2018-10-07,bitcoin,6589.124681678888,0.0,0
2018-10-08,bitcoin,6584.832153052514,0.0,0
2018-10-09,bitcoin,6653.089450830426,0.0,0
2018-10-10,bitcoin,6633.745729917172,0.0,0
2018-10-11,bitcoin,6582.455082387102,0.0,0
2018-10-12,bitcoin,6234.367641454442,0.0,0
2018-10-13,bitcoin,6285.592982799844,0.0,0
2018-10-14,bitcoin,6314.883384422573,0.0,0
2018-10-15,bitcoin,6328.554760034424,0.0,0
2018-10-16,bitcoin,6659.87550840943,0.0,0
2018-10-17,bitcoin,6635.125667516839,0.0,0
2018-10-18,bitcoin,6635.741832487943,0.0,0
2018-10-19,bitcoin,6517.511087710534,0.0,0
2018-10-20,bitcoin,6483.827769471798,0.0,0
2018-10-21,bitcoin,6532.678750383806,0.0,0
2018-10-22,bitcoin,6529.670021370842,0.0,0
2018-10-23,bitcoin,6512.589059298922,0.0,0
2018-10-24,bitcoin,6472.799660641591,0.0,0
2018-10-25,bitcoin,6481.443589558082,0.0,0
2018-10-26,bitcoin,6458.191521836801,0.0,0
2018-10-27,bitcoin,6468.826424965618,0.0,0
2018-10-28,bitcoin,6457.058635186671,0.0,0
2018-10-29,bitcoin,6481.323141667608,0.0,0
2018-10-30,bitcoin,6292.6479239344,0.0,0
2018-10-31,bitcoin,6331.781807909807,0.0,0
2018-11-01,bitcoin,6366.720109554257,0.0,0
2018-11-02,bitcoin,6379.972972168429,0.0,0
2018-11-03,bitcoin,6425.4415830402095,0.0,0
2018-11-04,bitcoin,6388.1897883073725,0.0,0
2018-11-05,bitcoin,6351.061941056285,0.0,0
2018-11-06,bitcoin,6415.443408541094,0.0,0
2018-11-07,bitcoin,6474.847290336688,0.0,0
2018-11-08,bitcoin,6574.801180290013,0.0,0
2018-11-09,bitcoin,6490.454730761757,0.0,0
2018-11-10,bitcoin,6413.78203857173,0.0,0
2018-11-11,bitcoin,6429.898792074219,0.0,0
2018-11-12,bitcoin,6434.2845969255495,0.0,0
2018-11-13,bitcoin,6411.353436205148,0.0,0
2018-11-14,bitcoin,6394.289276264062,0.0,0
2018-11-15,bitcoin,5788.612494046974,0.0,0
2018-11-16,bitcoin,5686.541131058274,0.0,0
2018-11-17,bitcoin,5609.956182334204,0.0,0
2018-11-18,bitcoin,5599.1915956893035,0.0,0
2018-11-19,bitcoin,5638.861481452398,0.0,0
2018-11-20,bitcoin,4889.197859239111,0.0,0
2018-11-21,bitcoin,4450.711454417822,0.0,0
2018-11-22,bitcoin,4613.44841218385,0.0,0
2018-11-23,bitcoin,4307.388731717267,0.0,0
2018-11-24,bitcoin,4376.904946801552,0.0,0
2018-11-25,bitcoin,3895.8368129589876,0.0,0
2018-11-26,bitcoin,4039.836551137432,0.0,0
2018-11-27,bitcoin,3811.9235292664935,0.0,0
2018-11-28,bitcoin,3832.92451590069,0.0,0
2018-11-29,bitcoin,4267.243628990657,0.0,0
2018-11-30,bitcoin,4279.475592548712,0.0,0
2018-12-01,bitcoin,4009.6895798259993,0.0,0
2018-12-02,bitcoin,4189.573822999859,0.0,0
2018-12-03,bitcoin,4124.593548643215,0.0,0
2018-12-04,bitcoin,3878.8392347832714,0.0,0
2018-12-05,bitcoin,3943.6928120656007,0.0,0
2018-12-06,bitcoin,3751.691966395661,0.0,0
2018-12-07,bitcoin,3466.763863771732,0.0,0
2018-12-08,bitcoin,3408.5236170431267,0.0,0
2018-12-09,bitcoin,3424.7058606626006,0.0,0
2018-12-10,bitcoin,3550.546433896889,0.0,0
2018-12-11,bitcoin,3433.8084404312785,0.0,0
2018-12-12,bitcoin,3378.808778413106,0.0,0
2018-12-13,bitcoin,3438.1000735289817,0.0,0
2018-12-14,bitcoin,3294.636156545267,0.0,0
2018-12-15,bitcoin,3216.6271499079407,0.0,0
2018-12-16,bitcoin,3221.9762037129963,0.0,0
2018-12-17,bitcoin,3217.0468349697426,0.0,0
2018-12-18,bitcoin,3506.2170132794818,0.0,0
2018-12-19,bitcoin,3655.775045729801,0.0,0
2018-12-20,bitcoin,3687.750553192723,0.0,0
2018-12-21,bitcoin,4065.097238010126,0.0,0
2018-12-22,bitcoin,3846.2274979885774,0.0,0
2018-12-23,bitcoin,3960.567773408038,0.0,0
2018-12-24,bitcoin,3941.617740158326,0.0,0
2018-12-25,bitcoin,4021.990255345401,0.0,0
2018-12-26,bitcoin,3759.1784268965694,0.0,0
2018-12-27,bitcoin,3781.613081593353,0.0,0
2018-12-28,bitcoin,3587.703880138819,0.0,0
2018-12-29,bitcoin,3854.4210969825917,0.0,0
2018-12-30,bitcoin,3778.193939889601,0.0,0
2018-12-31,bitcoin,3809.7282286410905,0.0,0
2019-01-01,bitcoin,3692.5315655246986,0.0,0
2019-01-02,bitcoin,3794.2642537397164,0.0,0
2019-01-03,bitcoin,3872.1721842228935,0.0,0
2019-01-04,bitcoin,3776.525807694106,0.0,0
2019-01-05,bitcoin,3815.268079882635,0.0,0
2019-01-06,bitcoin,3787.3078571242845,0.0,0
2019-01-07,bitcoin,4013.5200912973864,0.0,0
2019-01-08,bitcoin,3989.6687175387638,0.0,0
2019-01-09,bitcoin,3973.5912546157865,0.0,0
2019-01-10,bitcoin,3982.2259127624075,0.0,0
2019-01-11,bitcoin,3623.8477291056797,0.0,0
2019-01-12,bitcoin,3632.849306434781,0.0,0
2019-01-13,bitcoin,3598.4363465618803,0.0,0
2019-01-14,bitcoin,3495.832311307438,0.0,0
2019-01-15,bitcoin,3648.04828565649,0.0,0
2019-01-16,bitcoin,3567.801243199206,0.0,0
2019-01-17,bitcoin,3597.6473233295915,0.0,0
2019-01-18,bitcoin,3620.9812811457246,0.0,0
2019-01-19,bitcoin,3597.7932517701506,0.0,0
2019-01-20,bitcoin,3674.587270857304,0.0,0
2019-01-21,bitcoin,3539.167531041029,0.0,0
2019-01-22,bitcoin,3531.004182799933,0.0,0
2019-01-23,bitcoin,3571.2669080928695,0.0,0
2019-01-24,bitcoin,3555.7000025226243,0.0,0
2019-01-25,bitcoin,3565.6420046170365,0.0,0
2019-01-26,bitcoin,3564.822417111422,0.0,0
2019-01-27,bitcoin,3563.614563419144,0.0,0
2019-01-28,bitcoin,3553.121681129778,0.0,0
2019-01-29,bitcoin,3432.215668301249,0.0,0
2019-01-30,bitcoin,3413.3754832497975,0.0,0
2019-01-31,bitcoin,3457.8826491759864,0.0,0
2019-02-01,bitcoin,3431.943637864456,0.0,0
