date,id_moneda,price,Porcentaje,market_cap,volume,MA_15,Price_to_MA15,Volume_to_market_cap,Porcentaje_abs
2020-03-21,bitcoin,6195.603505257629,0.41170306552067437,113030.38327251407,50936770688.25396,6809.879959923851,0.9097962874116373,45.06467129766905,0.41170306552067437
2020-03-22,bitcoin,6145.770891252399,-0.8043221933576206,112349.83590232984,40189198131.46317,6620.328838725463,0.9283180701391828,35.77147915587632,0.8043221933576206
2020-03-23,bitcoin,5859.647430299388,-4.655615479585573,107128.56467089128,37255748385.30394,6420.9905604067435,0.9125768641416915,34.77667090916134,4.655615479585573
2020-03-24,bitcoin,6456.347485963419,10.183207484098467,118046.7275725451,45578824447.64577,6218.15359241951,1.0383062093921722,38.61083266339213,10.183207484098467
2020-03-25,bitcoin,6730.173782371188,4.2411951494724764,123064.25618885923,45846522059.373184,6112.485722278948,1.1010534974079162,37.254133311475364,4.2411951494724764
2020-03-26,bitcoin,6695.9006183977235,-0.5092463446224604,122445.33659919923,42082295491.03078,6033.075173976313,1.1098652719065245,34.36823047722831,0.5092463446224604
2020-03-27,bitcoin,6765.56207892991,1.0403598336089948,123732.7398234625,34840544710.10888,5952.35311330212,1.1366197451912687,28.157902879882993,1.0403598336089948
2020-03-28,bitcoin,6397.826328325604,-5.435405755119016,117019.67917781361,32910551599.472366,5874.355782552744,1.0891111408892877,28.12394618640525,5.435405755119016
2020-03-29,bitcoin,6255.000398693634,-2.2324133588876083,114171.79649149913,35231848358.55144,5958.01150717323,1.0498469818601124,30.858626597133984,2.2324133588876083
2020-03-30,bitcoin,5915.337154791903,-5.430267342151895,108551.60330350956,25923471292.176422,6005.490230927929,0.9849882236637831,23.881242195653773,5.430267342151895
2020-03-31,bitcoin,6403.141235565223,8.246429037069491,117151.62872653436,34907149977.57921,6052.233433755128,1.0579798855498495,29.79655541884317,8.246429037069491
